epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2061,1.35184,3.55336,1.40056,0.00785,0.87931,0.44704,0.2906,0.91153,3.04138,1.0428,0.00024,0.00024,0.00024
2,27.7651,0.97959,1.96804,1.05647,0.95251,0.34589,0.58181,0.41584,0.86308,2.97867,0.99274,0.0004901,0.0004901,0.0004901
3,34.6967,0.97439,1.6667,1.04167,1,0.28436,0.57931,0.42707,0.90741,2.94484,1.02084,0.000729904,0.000729904,0.000729904
4,45.1295,0.9943,1.57758,1.06894,0.88498,0.27586,0.46137,0.3213,1.058,2.99978,1.12203,0.000959412,0.000959412,0.000959412
5,52.3005,0.91664,1.38532,1.02899,0.92581,0.2931,0.49154,0.35615,1.14415,3.00104,1.1558,0.00117862,0.00117862,0.00117862
6,61.2128,0.98233,1.35196,1.06413,0.80866,0.55172,0.7191,0.48504,1.09655,2.26187,1.16347,0.00138754,0.00138754,0.00138754
7,69.4517,0.99298,1.38919,1.04932,0.77985,0.48872,0.65714,0.43541,1.21518,2.29694,1.23812,0.00158616,0.00158616,0.00158616
8,77.7496,1.02053,1.34797,1.08734,0.92782,0.22177,0.44683,0.24736,1.40954,2.73779,1.37952,0.0017228,0.0017228,0.0017228
9,86.922,0.90625,1.18279,1.04578,0.78271,0.48276,0.60256,0.39114,1.19763,2.27839,1.19252,0.0016832,0.0016832,0.0016832
10,94.4854,0.98172,1.20182,1.05483,0.8563,0.62069,0.76204,0.48878,1.14458,1.83467,1.18193,0.0016436,0.0016436,0.0016436
11,103.945,1.01792,1.20728,1.0681,0.77026,0.69371,0.79934,0.55505,1.04381,1.50982,1.11677,0.001604,0.001604,0.001604
12,111.332,0.97482,1.15329,1.06364,0.87891,0.75094,0.85019,0.60394,0.97503,1.24613,1.04793,0.0015644,0.0015644,0.0015644
13,121.644,0.92244,1.05096,1.01646,0.90874,0.85845,0.91271,0.598,1.07516,1.13338,1.0932,0.0015248,0.0015248,0.0015248
14,128.693,0.89743,0.97311,1.01517,0.90543,0.82537,0.90001,0.67702,0.91472,1.07542,1.02403,0.0014852,0.0014852,0.0014852
15,138.436,0.84495,0.97058,0.99699,0.80711,0.86207,0.88692,0.61377,1.02482,1.09856,1.06957,0.0014456,0.0014456,0.0014456
16,145.616,0.86164,0.93427,1.01179,0.74918,0.84483,0.8432,0.63415,0.83938,1.0503,0.97114,0.001406,0.001406,0.001406
17,155.985,0.82906,0.837,0.99431,0.921,0.80409,0.91333,0.71043,0.8209,0.87068,0.99341,0.0013664,0.0013664,0.0013664
18,162.817,0.84525,0.86372,0.99704,0.96281,0.89288,0.94084,0.75018,0.76903,0.78536,0.97246,0.0013268,0.0013268,0.0013268
19,173.325,0.80247,0.81954,0.97588,0.97124,0.82759,0.9232,0.72604,0.87287,0.85786,1.01372,0.0012872,0.0012872,0.0012872
20,180.509,0.84166,0.79541,0.99031,0.75221,0.8375,0.78464,0.61271,0.81933,1.11866,1.01833,0.0012476,0.0012476,0.0012476
21,189.955,0.77635,0.73694,0.96851,0.84595,0.81034,0.86117,0.65736,0.93143,0.9708,1.07378,0.001208,0.001208,0.001208
22,197.79,0.83194,0.77263,0.98922,0.93486,0.89655,0.93446,0.72441,0.88874,0.81318,1.00955,0.0011684,0.0011684,0.0011684
23,207.24,0.81196,0.73642,0.98769,0.95288,0.86207,0.9276,0.74208,0.77855,0.75736,0.96105,0.0011288,0.0011288,0.0011288
24,216.046,0.74945,0.7111,0.97043,0.94935,0.86207,0.93559,0.73513,0.83873,0.73181,1.00422,0.0010892,0.0010892,0.0010892
25,223.819,0.73585,0.69404,0.94675,0.91118,0.91379,0.92032,0.70649,0.87013,0.70193,1.01607,0.0010496,0.0010496,0.0010496
26,233.384,0.75076,0.68238,0.96042,0.91077,0.91379,0.93347,0.70876,0.87159,0.66983,1.00269,0.00101,0.00101,0.00101
27,240.38,0.76653,0.67597,0.95205,0.92886,0.90046,0.93544,0.7439,0.83634,0.63251,1.00137,0.0009704,0.0009704,0.0009704
28,250.39,0.70418,0.67396,0.94801,0.98111,0.89531,0.93734,0.71191,0.87128,0.61206,1.05478,0.0009308,0.0009308,0.0009308
29,257.259,0.73256,0.62263,0.94103,0.97771,0.91379,0.94576,0.74527,0.81553,0.6062,1.02715,0.0008912,0.0008912,0.0008912
30,267.635,0.71095,0.61472,0.94103,0.97837,0.91379,0.93922,0.72707,0.85236,0.61036,0.99096,0.0008516,0.0008516,0.0008516
31,274.64,0.72349,0.62341,0.93928,0.97931,0.91379,0.94084,0.73657,0.85004,0.63647,0.99721,0.000812,0.000812,0.000812
32,284.335,0.6833,0.59594,0.93312,0.95416,0.87931,0.93469,0.73434,0.79157,0.59532,0.93977,0.0007724,0.0007724,0.0007724
33,291.508,0.69738,0.5827,0.91425,0.98033,0.85935,0.93098,0.74164,0.80903,0.60074,0.95343,0.0007328,0.0007328,0.0007328
34,299.901,0.716,0.57129,0.92168,0.96219,0.87764,0.92998,0.72674,0.82503,0.62859,0.9586,0.0006932,0.0006932,0.0006932
35,308.49,0.7144,0.58631,0.94415,0.94709,0.92586,0.93643,0.75804,0.78563,0.58163,0.92422,0.0006536,0.0006536,0.0006536
36,316.662,0.72638,0.59762,0.94068,0.93192,0.94413,0.92946,0.76776,0.74779,0.53626,0.93139,0.000614,0.000614,0.000614
37,326.151,0.64633,0.56616,0.92343,0.92913,0.94828,0.93211,0.76735,0.73831,0.51966,0.93249,0.0005744,0.0005744,0.0005744
38,333.608,0.64687,0.52567,0.90926,0.92749,0.91379,0.93033,0.76673,0.74365,0.54026,0.91656,0.0005348,0.0005348,0.0005348
39,343.659,0.68106,0.56718,0.91925,0.9598,0.89655,0.94097,0.7737,0.74984,0.51009,0.92071,0.0004952,0.0004952,0.0004952
40,350.58,0.64571,0.54143,0.92345,0.94557,0.93103,0.94071,0.7726,0.76087,0.50758,0.95359,0.0004556,0.0004556,0.0004556
41,365.555,0.60264,0.52434,0.88417,0.94525,0.91379,0.93662,0.77801,0.7303,0.49588,0.93527,0.000416,0.000416,0.000416
42,373.888,0.63731,0.56773,0.90616,0.94732,0.93011,0.94054,0.74429,0.82916,0.5125,0.96743,0.0003764,0.0003764,0.0003764
43,383.266,0.60725,0.51684,0.88577,0.98169,0.92458,0.94439,0.78264,0.74404,0.48334,0.95447,0.0003368,0.0003368,0.0003368
44,390.477,0.57091,0.48823,0.87621,0.97917,0.91379,0.94317,0.76142,0.77206,0.4801,0.95646,0.0002972,0.0002972,0.0002972
45,400.68,0.55559,0.48536,0.89054,0.98171,0.92528,0.9415,0.76233,0.75386,0.48792,0.96743,0.0002576,0.0002576,0.0002576
46,407.734,0.53578,0.47276,0.86209,0.9751,0.93103,0.94195,0.76534,0.74747,0.47651,0.96965,0.000218,0.000218,0.000218
47,417.965,0.52656,0.46672,0.86226,0.97815,0.91379,0.94373,0.7641,0.75881,0.47449,0.96453,0.0001784,0.0001784,0.0001784
48,424.769,0.53564,0.44419,0.84894,0.9817,0.9249,0.94388,0.77569,0.7526,0.47296,0.95716,0.0001388,0.0001388,0.0001388
49,433.606,0.51183,0.45013,0.85709,0.97938,0.93103,0.94351,0.76835,0.73754,0.47643,0.95458,9.92e-05,9.92e-05,9.92e-05
50,441.669,0.53932,0.45451,0.86161,0.97815,0.93103,0.94299,0.76977,0.73556,0.47773,0.95415,5.96e-05,5.96e-05,5.96e-05
